Name,Rating,Ranked,Popularity,Members,Type
Jakusansei Million Arthur,6.24,8548,Nov 2015 - Jun 2018,"1,996 members",ONA
Ketsuekigata-kun! 4,6.24,8549,Jan 2016 - Mar 2016,"3,653 members",TV
Kidou Senshi Gundam Senki: Avant Title,6.24,8550,Sep 2009 - Sep 2009,"3,328 members",ONA
King of Prism All Stars: Prism Show☆Best Ten,6.24,8551,Jan 2020 - Jan 2020,990 members,Movie
King of Prism: Shiny Seven Stars II - Kakeru x Joji x Minato,6.24,8552,Mar 2019 - Mar 2019,"1,029 members",Movie
King of Prism: Shiny Seven Stars III - Leo x Yuu x Alexander,6.24,8553,Apr 2019 - Apr 2019,951 members,Movie
King of Prism: Shiny Seven Stars IV - Louis x Shin x Unknown,6.24,8554,May 2019 - May 2019,931 members,Movie
Kurokan,6.24,8555,Jan 2013 - 2014,593 members,ONA
Loups=Garous,6.24,8556,Aug 2010 - Aug 2010,"18,116 members",Movie
Love Live! Nijigasaki Gakuen School Idol Doukoukai Recap,6.24,8557,Mar 2022 - Mar 2022,"1,043 members",ONA
Macross 25-shuunen Kinen: All That VF Macross F Version,6.24,8558,Aug 2008 - Aug 2008,"3,770 members",ONA
Mahoutsukai ni Narenakatta Onnanoko no Hanashi,6.24,8559,Oct 2024 - Dec 2024,"13,870 members",TV
Mari Iyagi,6.24,8560,Jan 2002 - Jan 2002,"3,951 members",Movie
Megane-bu!,6.24,8561,Oct 2013 - Dec 2013,"31,027 members",TV
Neko Machi,6.24,8562,Aug 2006 - Aug 2006,"1,618 members",OVA
New Dream Hunter Rem: Yume no Kishi-tachi,6.24,8563,Dec 1990 - Dec 1990,"3,905 members",OVA
Peach Boy Riverside,6.24,8564,Jul 2021 - Sep 2021,"190,250 members",TV
Ple Ple Pleiades Special Edition,6.24,8565,Sep 2015 - Sep 2015,"2,508 members",ONA
Puraore! Pride of Orange,6.24,8566,Oct 2021 - Dec 2021,"28,193 members",TV
Renshenguo,6.24,8567,1981 - 1981,505 members,Movie
Robot Town Sagami 2028,6.24,8568,Apr 2016 - Apr 2016,"1,067 members",ONA
Robotan,6.24,8569,Oct 1966 - Sep 1968,737 members,TV
Saiyuuki,6.24,8570,Aug 1960 - Aug 1960,"3,673 members",Movie
Sengoku Night Blood: Ongaku Dai Tokushuu,6.24,8571,Nov 2017 - Nov 2017,"2,540 members",Special
Silent Möbius: The Motion Picture,6.24,8572,Aug 1991 - Aug 1991,"5,955 members",Movie
Sinbad: Soratobu Hime to Himitsu no Shima,6.24,8573,Jul 2015 - Jul 2015,"2,377 members",Movie
Sore Ike! Anpanman: Yumeneko no Kuni no Nyanii,6.24,8574,Jul 2004 - Jul 2004,655 members,Movie
Super Bikkuriman,6.24,8575,May 1992 - Apr 1993,"1,074 members",TV
Suteki na Okurimono,6.24,8576,Jun 2019 - Jun 2019,448 members,ONA
Takara-sagashi,6.24,8577,Jun 2011 - Jun 2011,"2,246 members",Movie
Tenshi Kinryouku,6.24,8578,May 2000 - Aug 2000,"50,704 members",OVA
Tentoumushi no Uta,6.24,8579,Oct 1974 - Sep 1976,"1,317 members",TV
Tottoko Hamtarou OVA 4: Hamuchanzu no Mezase! Hamuhamu Kin Medal - Hashire! Hashire! Daisakusen,6.24,8580,Dec 2004 - Dec 2004,"1,712 members",OVA
Ushio to Tora: Comical Deformer Gekijou,6.24,8581,Oct 1993 - Oct 1993,"3,643 members",OVA
Wild 7,6.24,8582,Dec 1994 - Feb 1995,"3,440 members",OVA
Yin Yang Shi: Ping An Wu Yu 2nd Season,6.24,8583,Jun 2019 - Oct 2019,"1,168 members",ONA
Shen Ming Zhi Zhou,6.23,8584,Dec 2015 - May 2016,"1,151 members",ONA
Shikkakumon no Saikyou Kenja,6.23,8585,Jan 2022 - Mar 2022,"269,422 members",TV
Shin Calimero,6.23,8586,Oct 1992 - Sep 1993,"2,649 members",TV
Sono Hanabira ni Kuchizuke wo: Risa x Miya Gekijou,6.23,8587,Nov 2012 - Dec 2012,"8,312 members",ONA
Sore Ike! Anpanman: Tsumikijou no Himitsu,6.23,8588,Mar 1992 - Mar 1992,752 members,Movie
Street Fighter IV: Aratanaru Kizuna,6.23,8589,Feb 2009 - Feb 2009,"8,835 members",OVA
Submarine Super 99,6.23,8590,May 2003 - Jul 2003,"2,750 members",TV
Tanpen Unico: Kuroi Kumo to Shiroi Hane,6.23,8591,Apr 1979 - Apr 1979,"2,218 members",OVA
Tell the Story to You,6.23,8592,Oct 2020 - Mar 2021,387 members,Special
Tokusou Kihei Dorvack,6.23,8593,Oct 1983 - Jul 1984,"2,091 members",TV
Tondera House no Daibouken,6.23,8594,Apr 1982 - Mar 1983,"1,741 members",TV
Tooi Sekai,6.23,8595,Feb 1999 - Feb 1999,"17,230 members",ONA
Toshi wo Totta Wani,6.23,8596,Mar 2005 - Mar 2005,"3,344 members",Movie
Tsuru ga Mau Yoru ni,6.23,8597,Mar 2023 - Mar 2023,426 members,ONA
Usuzumizakura: Garo,6.23,8598,Oct 2018 - Oct 2018,"5,813 members",Movie
Xinghe Zhizun,6.23,8599,Jun 2021 - Oct 2021,"1,876 members",ONA
Yama Nezumi Rocky Chuck,6.23,8600,Jan 1973 - Dec 1973,"2,023 members",TV
Yamato Takeru: After War,6.23,8601,Nov 1995 - Nov 1995,"1,040 members",OVA
Alita De Shui Gian Gushi,6.23,8602,Jul 2019 - Jul 2019,337 members,ONA
Animentary: Ketsudan,6.23,8603,Apr 1971 - Sep 1971,"1,954 members",TV
Appleseed XIII Remix Movie 1: Yuigon,6.23,8604,Jun 2011 - Jun 2011,"4,703 members",Movie
Asobi ni Iku yo!: Asobi ni Oide - Owari,6.23,8605,Jun 2011 - Jun 2011,"11,705 members",Special
Baa-cha no Kingyo,6.23,8606,Oct 2012 - Oct 2012,"1,397 members",Movie
Bakukyuu Renpatsu!! Super B-Daman,6.23,8607,Jan 1999 - Sep 1999,"1,852 members",TV
Balala Xiao Mo Xian Zhi: Meng Huan Xuan Lu,6.23,8608,Jan 2015 - Aug 2015,"1,684 members",TV
Bouken Yuuki Pluster World,6.23,8609,Apr 2003 - Mar 2004,"1,210 members",TV
Captain Tsubasa no Shouka Sakusen,6.23,8610,-,856 members,OVA
Code Geass: Soubou no Oz Picture Drama,6.23,8611,Jan 2013 - Jan 2013,"15,156 members",OVA
Dog Days'': Gravure Talk,6.23,8612,Aug 2015 - Aug 2015,"5,037 members",Special
Dokyuu Hentai HxEros OVA,6.23,8613,Nov 2020 - Mar 2021,"19,015 members",OVA
Esper Mami Special: My Angel Mami-chan,6.23,8614,Dec 1988 - Dec 1988,572 members,Special
Fuuma no Kojirou: Yasha-hen,6.23,8615,Jun 1989 - Aug 1989,"3,288 members",OVA
Galaxy Angel Rune,6.23,8616,Oct 2006 - Dec 2006,"6,046 members",TV
Gegege no Kitarou: Jigoku-hen,6.23,8617,Feb 1988 - Mar 1988,"1,595 members",TV
Gegege no Kitarou: Obake Nighter,6.23,8618,Mar 1997 - Mar 1997,"1,172 members",Movie
Get Ride! AMDriver,6.23,8619,Apr 2004 - Mar 2005,"2,666 members",TV
Godzilla 3: Hoshi wo Kuu Mono,6.23,8620,Nov 2018 - Nov 2018,"35,461 members",Movie
Isuca: Gokuraku,6.23,8621,Aug 2015 - Aug 2015,"23,549 members",OVA
Jungle Taitei Movie,6.23,8622,Jul 1966 - Jul 1966,"1,734 members",Movie
Kasumin 3rd Season,6.23,8623,Apr 2003 - Oct 2003,999 members,TV
Koukaku Kidoutai Arise: Ghost in the Shell - Logicoma Specials,6.23,8624,Jul 2013 - Sep 2014,"7,136 members",Special
Kurage no Shokudou,6.23,8625,Mar 2016 - Mar 2016,"15,941 members",OVA
Kurumiwari Ningyou,6.23,8626,Mar 1979 - Mar 1979,"1,193 members",Movie
Kuruneko: Nyaalock Holmes no Bouken,6.23,8627,Dec 2010 - Sep 2011,581 members,Special
Macross F: Choujikuu Gekijou,6.23,8628,Feb 2011 - Feb 2011,"3,585 members",OVA
Mahou Shoujo Site Recaps,6.23,8629,May 2018 - Jun 2018,"5,605 members",Special
Maken-Ki! Two Specials,6.23,8630,Mar 2014 - Jul 2014,"27,646 members",Special
Megami Kouhosei Special Curriculum,6.23,8631,May 2002 - May 2002,"4,858 members",OVA
Megumi no Daigo: Kajiba no Baka Yarou,6.23,8632,Jul 1999 - Jul 1999,"2,956 members",Movie
Mini Hama: Minimum Hamatora,6.23,8633,Nov 2015 - Dec 2015,"4,982 members",TV
Mori no Tonto-tachi,6.23,8634,Oct 1984 - Mar 1985,931 members,TV
Neko Neko Nihonshi 2nd Season,6.23,8635,Apr 2017 - Feb 2018,911 members,TV
Ni Zhenshi Ge Tiancai,6.23,8636,Apr 2022 - Jul 2022,"1,151 members",ONA
Ninja Hattori-kun (2012) Special,6.23,8637,2012 - 2012,703 members,Special
