Name,Rating,Ranked,Popularity,Members,Type
Giniro no Kami no Agito,7.04,4158,Jan 2006 - Jan 2006,"75,538 members",Movie
Golden Time (Movie),7.04,4159,Dec 2013 - Dec 2013,"9,976 members",Movie
Haiyore! Nyaruko-san W: W ni Sayonara/Kono Onsen ni Koi no Konton wo,7.04,4160,Apr 2014 - Apr 2014,"36,280 members",OVA
"Hetalia Axis Powers Movie: Paint it, White",7.04,4161,Jun 2010 - Jun 2010,"60,283 members",Movie
Houkago no Breath,7.04,4162,Sep 2023 - Dec 2023,"7,536 members",ONA
Inou-Battle wa Nichijou-kei no Naka de,7.04,4163,Oct 2014 - Dec 2014,"437,948 members",TV
Jaku-Chara Tomozaki-kun 2nd Stage,7.04,4164,Jan 2024 - Mar 2024,"131,298 members",TV
Kannagi: Moshimo Kannagi ga Attara...,7.04,4165,May 2009 - May 2009,"34,512 members",Special
Kemurikusa (TV),7.04,4166,Jan 2019 - Mar 2019,"32,755 members",TV
Mahoromatic: Tadaima Okaeri,7.04,4167,Oct 2009 - Oct 2009,"10,247 members",TV
Mahouka Koukou no Rettousei 3rd Season,7.04,4168,Apr 2024 - Jun 2024,"134,418 members",TV
Mazinkaiser SKL,7.04,4169,Nov 2010 - Apr 2011,"12,590 members",OVA
Meiji Tokyo Renka,7.04,4170,Jan 2019 - Mar 2019,"58,876 members",TV
Mikakunin de Shinkoukei: Mite. Are ga Watashitachi no Tomatteiru Ryokan yo.,7.04,4171,Mar 2014 - Mar 2014,"46,431 members",Special
Mokke,7.04,4172,Oct 2007 - Mar 2008,"16,592 members",TV
Momokuri,7.04,4173,Dec 2015 - Feb 2016,"109,757 members",ONA
Nichijou: Original Jikai Yokoku,7.04,4174,Jun 2011 - Jun 2012,"20,321 members",Special
Ninkuu,7.04,4175,Jan 1995 - Feb 1996,"7,609 members",TV
"One Room, Hiatari Futsuu, Tenshi-tsuki.",7.04,4176,Apr 2024 - Jun 2024,"72,431 members",TV
Orient: Awajishima Gekitou-hen,7.04,4177,Jul 2022 - Sep 2022,"59,315 members",TV
Pokemon Movie 12: Arceus Choukoku no Jikuu e,7.04,4178,Jul 2009 - Jul 2009,"92,063 members",Movie
Princess Connect! Re:Dive,7.04,4179,Apr 2020 - Jun 2020,"299,736 members",TV
Roujin Z,7.04,4180,Sep 1991 - Sep 1991,"40,564 members",Movie
Jarinko Chie,7.03,4181,Apr 1981 - Apr 1981,"4,912 members",Movie
Jewelpet Twinkle☆: Hohoemi no Niji ni Dokki☆Doki!,7.03,4182,Jul 2013 - Jul 2013,"1,978 members",Special
"Kanojo, Okarishimasu 3rd Season",7.03,4183,Jul 2023 - Sep 2023,"188,656 members",TV
Kaze no Naka no Shoujo: Kinpatsu no Jeanie,7.03,4184,Oct 1992 - Sep 1993,"4,543 members",TV
Kiddy Grade: Maelstrom,7.03,4185,Jun 2007 - Jun 2007,"5,175 members",Movie
Kikou Souseiki Mospeada,7.03,4186,Oct 1983 - Mar 1984,"10,362 members",TV
Koro-sensei Quest!,7.03,4187,Dec 2016 - Mar 2017,"54,308 members",ONA
Koutetsu Jeeg,7.03,4188,Oct 1975 - Aug 1976,"4,089 members",TV
Kyattou Ninden Teyandee,7.03,4189,Feb 1990 - Feb 1991,"14,607 members",TV
Kyou no 5 no 2 (TV): Takarabako,7.03,4190,Oct 2009 - Oct 2009,"9,224 members",OVA
Machine-Doll wa Kizutsukanai,7.03,4191,Oct 2013 - Dec 2013,"334,489 members",TV
Mahou Shoujo-tai Arusu,7.03,4192,Apr 2004 - Mar 2005,"31,744 members",TV
Maiko-san Chi no Makanai-san,7.03,4193,Feb 2021 - Jan 2022,"19,430 members",TV
Marco: Haha wo Tazunete Sanzenri,7.03,4194,Apr 1999 - Apr 1999,"2,860 members",Movie
Meitantei Conan OVA 12: Excalibur no Kiseki,7.03,4195,May 2012 - May 2012,"11,803 members",OVA
Meitantei Conan: Kinga Shinnen Mouri Kogorou,7.03,4196,Jan 2015 - Jan 2015,"4,608 members",Special
Metal Fight Beyblade: Baku,7.03,4197,Apr 2010 - Mar 2011,"57,719 members",TV
NG Knight Ramune & 40,7.03,4198,Apr 1990 - Jan 1991,"4,690 members",TV
One Punch Man 2nd Season Commemorative Special,7.03,4199,Apr 2019 - Apr 2019,"68,699 members",TV
Ooyukiumi no Kaina: Hoshi no Kenja,7.03,4200,Oct 2023 - Oct 2023,"10,934 members",Movie
Raiyantsuuri no Uta,7.03,4201,Jul 1994 - Jul 1994,"2,059 members",Movie
Reikenzan: Hoshikuzu-tachi no Utage,7.03,4202,Jan 2016 - Mar 2016,"97,376 members",TV
Seikimatsu Occult Gakuin,7.03,4203,Jul 2010 - Sep 2010,"106,242 members",TV
Sekai Seifuku: Bouryaku no Zvezda,7.03,4204,Jan 2014 - Mar 2014,"149,436 members",TV
Sekirei: Hajimete no Otsukai,7.03,4205,Mar 2009 - Mar 2009,"58,577 members",Special
Show By Rock!!,7.03,4206,Apr 2015 - Jun 2015,"89,156 members",TV
Sore ga Seiyuu!,7.03,4207,Jul 2015 - Sep 2015,"55,611 members",TV
Super Lovers 2,7.03,4208,Jan 2017 - Mar 2017,"93,049 members",TV
Super Senko-san Time Episode 12,7.03,4209,Sep 2019 - Sep 2019,"13,641 members",Special
Tenjou Tenge: The Past Chapter,7.03,4210,Mar 2005 - Mar 2005,"23,105 members",OVA
Umineko no Naku Koro ni,7.03,4211,Jul 2009 - Dec 2009,"226,066 members",TV
Yuri Kuma Arashi,7.03,4212,Jan 2015 - Mar 2015,"105,162 members",TV
Aikatsu on Parade!,7.03,4213,Oct 2019 - Mar 2020,"6,803 members",TV
Akazukin Chacha OVA,7.03,4214,Dec 1995 - Mar 1996,"2,989 members",OVA
Bakusou Kyoudai Let's & Go WGP,7.03,4215,Jan 1997 - Dec 1997,"7,105 members",TV
Blue Archive: Beautiful Day Dreamer,7.03,4216,Nov 2022 - Nov 2022,"4,438 members",ONA
Bosco Adventure,7.03,4217,Oct 1986 - Mar 1987,"2,455 members",TV
Cardfight!! Vanguard,7.03,4218,Jan 2011 - Mar 2012,"55,836 members",TV
Chihayafuru 2: Waga Miyo ni Furu Nagame Shima ni,7.03,4219,Sep 2013 - Sep 2013,"45,078 members",OVA
Daisuki! BuBu ChaCha,7.03,4220,May 2001 - Nov 2001,"2,072 members",TV
Doraemon Movie 04: Nobita no Kaitei Kiganjou,7.03,4221,Mar 1983 - Mar 1983,"6,467 members",Movie
Doraemon Movie 20: Nobita no Uchuu Hyouryuuki,7.03,4222,Mar 1999 - Mar 1999,"5,830 members",Movie
Dosanko Gal wa Namara Menkoi,7.03,4223,Jan 2024 - Mar 2024,"178,851 members",TV
"Dragon Ball Z Movie 15: Fukkatsu no ""F""",7.03,4224,Apr 2015 - Apr 2015,"188,617 members",Movie
ef: A Tale of Memories. - Prologue,7.03,4225,Aug 2007 - Aug 2007,"31,671 members",Special
"Flanders no Inu, Boku no Patrasche",7.03,4226,Oct 1992 - Mar 1993,"2,676 members",TV
Full Metal Panic! Movie 2: One Night Stand,7.03,4227,Jan 2018 - Jan 2018,"7,950 members",Movie
Fushigi Yuugi Special: Nakago Shikkari Shinasai!,7.03,4228,Jul 1996 - Jul 1996,"3,066 members",Special
Good Night World,7.03,4229,Oct 2023 - Oct 2023,"55,623 members",ONA
Grisaia no Rakuen Specials,7.03,4230,Aug 2015 - Dec 2015,"63,922 members",Special
Happy Birthday: Inochi Kagayaku Toki,7.03,4231,Jul 1999 - Jul 1999,"4,555 members",Movie
Hayate no Gotoku! Can't Take My Eyes Off You,7.03,4232,Oct 2012 - Dec 2012,"58,377 members",TV
Himouto! Umaru-chanS,7.03,4233,Sep 2015 - Feb 2016,"82,575 members",Special
Ichigo Mashimaro Episode 0,7.03,4234,Jun 2005 - Jun 2005,"16,288 members",Special
Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!,7.02,4235,Aug 2015 - Aug 2015,"3,838 members",Movie
Asatte no Houkou.,7.02,4236,Oct 2006 - Dec 2006,"25,613 members",TV
B'T X,7.02,4237,Apr 1996 - Sep 1996,"12,846 members",TV
Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi,7.02,4238,Oct 2011 - Oct 2011,"26,792 members",Special
Blame! Movie,7.02,4239,May 2017 - May 2017,"111,303 members",Movie
Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai,7.02,4240,Sep 2012 - Sep 2012,"117,256 members",OVA
Chicchana Yukitsukai Sugar Specials,7.02,4241,Aug 2003 - Aug 2003,"5,719 members",TV
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama,7.02,4242,Dec 2013 - Dec 2013,"18,338 members",Special
Code Geass: Hangyaku no Lelouch Recaps,7.02,4243,Dec 2006 - Feb 2007,"38,059 members",TV
Crayon Shin-chan Movie 01: Action Kamen vs. Haigure Maou,7.02,4244,Jul 1993 - Jul 1993,"9,802 members",Movie
Danball Senki Wars,7.02,4245,Apr 2013 - Dec 2013,"5,574 members",TV
Eikoku Koi Monogatari Emma: Intermission,7.02,4246,Apr 2007 - Apr 2007,"5,902 members",Special
Fate/Zero Remix,7.02,4247,Mar 2012 - Apr 2012,"26,173 members",TV
Genki Bakuhatsu Ganbaruger,7.02,4248,Apr 1992 - Feb 1993,"1,942 members",TV
Geu Yeoreum Movie,7.02,4249,Jun 2023 - Jun 2023,"4,563 members",Movie
Hayate no Gotoku! Cuties,7.02,4250,Apr 2013 - Jul 2013,"46,357 members",TV
Hiatari Ryoukou!,7.02,4251,Mar 1987 - Mar 1988,"5,983 members",TV
Huyao Xiao Hongniang: Jin Chenxi,7.02,4252,Jun 2020 - Aug 2020,"3,024 members",ONA
Jahy-sama wa Kujikenai!,7.02,4253,Aug 2021 - Dec 2021,"256,943 members",TV
Joker Game,7.02,4254,Apr 2016 - Jun 2016,"214,009 members",TV
Jungle no Ouja Tar-chan,7.02,4255,Oct 1993 - Sep 1994,"3,535 members",TV
Kaibutsu Oujo (OVA),7.02,4256,Dec 2010 - Oct 2011,"13,402 members",OVA
Kami no Tou: Koubou-sen,7.02,4257,Oct 2024 - Dec 2024,"80,608 members",TV
Kanojo mo Kanojo Season 2,7.02,4258,Oct 2023 - Dec 2023,"108,483 members",TV
Kikoushi Enma,7.02,4259,Aug 2006 - Mar 2007,"21,936 members",OVA
Kimi no Iru Machi OVA,7.02,4260,Jan 2014 - Mar 2014,"19,827 members",OVA
Kodomo no Jikan Ni Gakki,7.02,4261,Feb 2009 - Jul 2009,"32,775 members",OVA
Kodomo no Jikan OVA,7.02,4262,Sep 2007 - Jan 2011,"30,934 members",OVA
Mahoutsukai Tai!,7.02,4263,May 1996 - Oct 1997,"11,462 members",OVA
Mashiro-iro Symphony: The Color of Lovers,7.02,4264,Oct 2011 - Dec 2011,"158,803 members",TV
Masuda Kousuke Gekijou: Gag Manga Biyori 3,7.02,4265,Mar 2008 - Jun 2008,"3,133 members",TV
MM!,7.02,4266,Oct 2010 - Dec 2010,"240,463 members",TV
Otome wa Boku ni Koishiteru,7.02,4267,Oct 2006 - Dec 2006,"65,008 members",TV
Poketoon (2024),7.02,4268,Sep 2024 - Nov 2024,"1,577 members",ONA
Promare: Lio-hen,7.02,4269,May 2019 - May 2019,"30,376 members",ONA
Ranma ½: Totteoki Talk - Best of Memories,7.02,4270,May 1993 - May 1993,"4,862 members",OVA
Red Garden,7.02,4271,Oct 2006 - Mar 2007,"47,041 members",TV
Sekirei,7.02,4272,Jul 2008 - Sep 2008,"419,296 members",TV
Shaonian Bai Ma Zui Chun Feng,7.02,4273,Jul 2022 - Feb 2023,"1,705 members",ONA
Slow Start,7.02,4274,Jan 2018 - Mar 2018,"84,720 members",TV
Soredemo Ayumu wa Yosetekuru,7.02,4275,Jul 2022 - Sep 2022,"172,546 members",TV
Stop!! Hibari-kun!,7.02,4276,May 1983 - Jan 1984,"12,077 members",TV
Suite Precure♪ Movie: Torimodose! Kokoro ga Tsunagu Kiseki no Melody♪,7.02,4277,Oct 2011 - Oct 2011,"6,548 members",Movie
Taiho Shichau zo Special,7.02,4278,Mar 1999 - Apr 1999,"8,163 members",TV
Takahashi Rumiko Gekijou Ningyo no Mori,7.02,4279,Oct 2003 - Dec 2003,"28,803 members",TV
Tales of Symphonia The Animation: Sekai Tougou-hen Specials,7.02,4280,Nov 2011 - Oct 2012,"6,640 members",Special
Tesagure! Bukatsumono Encore,7.02,4281,Jan 2014 - Mar 2014,"5,204 members",TV
Tokyo Ghoul √A,7.02,4282,Jan 2015 - Mar 2015,"1,816,717 members",TV
Uma Musume: Pretty Derby - 1st Anniversary Special Animation,7.02,4283,Feb 2022 - Feb 2022,"4,545 members",Special
Waccha PriMagi!,7.02,4284,Oct 2021 - Oct 2022,"5,844 members",TV
Wasurenagumo,7.02,4285,Mar 2012 - Mar 2012,"39,618 members",TV
Yami no Matsuei,7.02,4286,Oct 2000 - Dec 2000,"57,221 members",TV
Yuusha Tokkyuu Might Gaine,7.02,4287,Jan 1993 - Jan 1994,"3,890 members",TV
Shakunetsu Kabaddi,7.01,4288,Apr 2021 - Jun 2021,"105,001 members",TV
Shuffle!,7.01,4289,Jul 2005 - Jan 2006,"283,842 members",TV
"Solty Rei: Surechigau Kimochi de, Omoi Au Kokoro de.",7.01,4290,Jul 2006 - Jul 2006,"4,272 members",Special
Stranger: Mukou Hadan Pilot,7.01,4291,Apr 2008 - Apr 2008,"12,879 members",Special
Strike the Blood,7.01,4292,Oct 2013 - Mar 2014,"652,982 members",TV
Sword Art Online Alternative: Gun Gale Online,7.01,4293,Apr 2018 - Jul 2018,"644,083 members",TV
Tokimeki Memorial: Only Love,7.01,4294,Oct 2006 - Apr 2007,"38,431 members",TV
Tottoko Hamtarou,7.01,4295,Jul 2000 - Mar 2006,"62,154 members",TV
Tu Bian Ying Xiong Leaf,7.01,4296,Apr 2018 - Jul 2018,"37,234 members",ONA
Uchuu Senkan Yamato III,7.01,4297,Oct 1980 - Apr 1981,"6,933 members",TV
Uta no☆Prince-sama♪ Maji Love 1000%,7.01,4298,Jul 2011 - Sep 2011,"201,950 members",TV
Vanitas no Karte: Le Chemin Parcouru Depuis la Rencontre,7.01,4299,Dec 2021 - Dec 2021,"9,051 members",Special
Wo Shi Jiang Xiaobai (2018),7.01,4300,May 2018 - May 2018,"2,986 members",ONA
Xi Xing Ji: Jijie Pian,7.01,4301,Sep 2019 - Jan 2020,"1,300 members",ONA
Yi Ren Zhi Xia 5th season,7.01,4302,Dec 2022 - Feb 2023,"4,600 members",ONA
Youkai Watch Movie 1: Tanjou no Himitsu da Nyan!,7.01,4303,Dec 2014 - Dec 2014,"7,061 members",Movie
Yuuki Yuuna wa Yuusha de Aru: Hidamari,7.01,4304,Nov 2017 - Nov 2017,"9,841 members",Special
"Yuusha, Yamemasu",7.01,4305,Apr 2022 - Jun 2022,"323,429 members",TV
11-nin Iru!,7.01,4306,Nov 1986 - Nov 1986,"12,930 members",Movie
Ajin Part 2 OVA,7.01,4307,Apr 2017 - Apr 2017,"16,888 members",OVA
Animal Yokochou,7.01,4308,Oct 2005 - Sep 2006,"3,754 members",TV
Azur Lane: Bisoku Zenshin!,7.01,4309,Jan 2021 - Mar 2021,"53,321 members",TV
Binan Koukou Chikyuu Bouei-bu LOVE! LOVE!,7.01,4310,Jul 2016 - Sep 2016,"30,062 members",TV
Blue Gender,7.01,4311,Oct 1999 - Mar 2000,"84,496 members",TV
Cardfight!! Vanguard: Divinez,7.01,4312,Jan 2024 - Apr 2024,"3,542 members",TV
Chou Mashin Eiyuuden Wataru,7.01,4313,Oct 1997 - Sep 1998,"2,401 members",TV
Daisougen no Chiisana Tenshi: Bush Baby,7.01,4314,Jan 1992 - Dec 1992,"3,448 members",TV
Danball Senki,7.01,4315,Mar 2011 - Jan 2012,"10,960 members",TV
Fate/kaleid liner Prisma☆Illya,7.01,4316,Jul 2013 - Sep 2013,"282,891 members",TV
Fushigi Mahou Fun Fun Pharmacy,7.01,4317,Feb 1998 - Feb 1999,"4,228 members",TV
Galaxy Angel,7.01,4318,Apr 2001 - Sep 2001,"30,610 members",TV
Gantz 2nd Stage,7.01,4319,Aug 2004 - Nov 2004,"166,381 members",TV
Girls & Panzer: Fushou Akiyama Yukari no Sensha Kouza,7.01,4320,Dec 2012 - Jun 2013,"13,695 members",Special
Houkago Shounen Hanako-kun Part 2,7.01,4321,Oct 2024 - Oct 2024,"31,257 members",TV
Inazuma Eleven Go,7.01,4322,May 2011 - Apr 2012,"86,377 members",TV
Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,7.01,4323,Jan 2023 - Mar 2023,"163,121 members",TV
Kindaichi Shounen no Jikenbo: Kuromajutsu Satsujin Jiken-hen,7.01,4324,Dec 2012 - Mar 2013,"2,358 members",OVA
Kuruneko 2nd Season,7.01,4325,Jul 2010 - Jul 2011,"1,613 members",TV
Kyoukaisenjou no Horizon,7.01,4326,Oct 2011 - Dec 2011,"184,486 members",TV
Lupin III: Alcatraz Connection,7.01,4327,Aug 2001 - Aug 2001,"8,491 members",TV
Lupin III: Lupin vs. Fukusei-ningen,7.01,4328,Dec 1978 - Dec 1978,"15,155 members",Movie
Madlax,7.01,4329,Apr 2004 - Sep 2004,"43,536 members",TV
Mamoru-kun ni Megami no Shukufuku wo!,7.01,4330,Oct 2006 - Mar 2007,"27,994 members",TV
Medaka Box,7.01,4331,Apr 2012 - Jun 2012,"265,073 members",TV
Mekakucity Actors,7.01,4332,Apr 2014 - Jun 2014,"447,937 members",TV
Mushibugyou OVA,7.01,4333,Jul 2014 - Jan 2015,"8,818 members",OVA
Natsu-iro Kiseki,7.01,4334,Apr 2012 - Jun 2012,"44,883 members",TV
Nekopara: Koneko no Hi no Yakusoku,7.01,4335,Jul 2018 - Jul 2018,"34,433 members",ONA
Ookami Shoujo to Kuro Ouji,7.01,4336,Oct 2014 - Dec 2014,"483,754 members",TV
Oshiete! Galko-chan,7.01,4337,Jan 2016 - Mar 2016,"183,811 members",TV
Photon,7.01,4338,Nov 1997 - Feb 1999,"16,053 members",OVA
Ro-Kyu-Bu! SS,7.01,4339,Jul 2013 - Sep 2013,"39,461 members",TV
Juedai Shuang Jiao,7.00,4340,Oct 2022 - Jan 2023,"1,199 members",ONA
Kamigami no Asobi,7.00,4341,Apr 2014 - Jun 2014,"149,565 members",TV
Koi Kaze,7.00,4342,Apr 2004 - Jun 2004,"87,491 members",TV
Lupin III: Moeyo Zantetsuken!,7.00,4343,Jul 1994 - Jul 1994,"9,564 members",TV
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden 2nd Season - Kakusei Zenya,7.00,4344,Aug 2021 - Sep 2021,"68,464 members",TV
Magic-Kyun! Renaissance,7.00,4345,Oct 2016 - Dec 2016,"58,957 members",TV
Makai Ouji: Devils and Realist,7.00,4346,Jul 2013 - Sep 2013,"119,257 members",TV
Muteki Choujin Zanbot 3,7.00,4347,Oct 1977 - Mar 1978,"5,981 members",TV
Pikmin Short Movies,7.00,4348,Oct 2014 - Oct 2014,"1,971 members",Movie
Precure Dream Stars! Movie,7.00,4349,Mar 2017 - Mar 2017,"4,534 members",Movie
Saiyuuki (OVA),7.00,4350,Apr 1999 - Aug 1999,"5,655 members",OVA
Seiyou Kottou Yougashiten: Antique,7.00,4351,Jul 2008 - Sep 2008,"40,154 members",TV
Shakugan no Shana-tan III (Final): Final Destruction,7.00,4352,Jan 2012 - May 2012,"19,950 members",Special
Soukou no Strain,7.00,4353,Nov 2006 - Feb 2007,"23,841 members",TV
Suu-funkan no Yell wo,7.00,4354,Jun 2024 - Jun 2024,"5,009 members",Movie
Tenjou Tenge: The Ultimate Fight,7.00,4355,Mar 2005 - Mar 2005,"43,490 members",OVA
Tsurupika Hagemaru-kun,7.00,4356,Mar 1988 - Oct 1989,"3,497 members",TV
Uta no☆Prince-sama♪ Maji Love Revolutions,7.00,4357,Apr 2015 - Jun 2015,"61,629 members",TV
Xing Wushen Jue,7.00,4358,Jan 2021 - May 2021,"2,998 members",ONA
Yami Shibai,7.00,4359,Jul 2013 - Sep 2013,"112,575 members",TV
Yankee-kun na Yamada-kun to Megane-chan to Majo,7.00,4360,Aug 2015 - Aug 2015,"27,308 members",Special
Zhengjing Shao Zhu de Xingfu Shenghuo,7.00,4361,Oct 2023 - Dec 2023,"1,296 members",ONA
Aria the Origination Picture Drama,7.00,4362,Apr 2008 - Oct 2008,"11,997 members",Special
Benghuai 3rd: Dong Zhi Jiyi,7.00,4363,Feb 2022 - Feb 2022,434 members,ONA
Brave Witches: Petersburg Daisenryaku,7.00,4364,Aug 2017 - Aug 2017,"11,274 members",Special
Crayon Shin-chan Movie 19: Arashi wo Yobu Ougon no Spy Daisakusen,7.00,4365,Apr 2011 - Apr 2011,"5,845 members",Movie
Doraemon Movie 16: Nobita no Sousei Nikki,7.00,4366,Mar 1995 - Mar 1995,"5,709 members",Movie
Dragon League,7.00,4367,May 1993 - Feb 1994,"2,472 members",TV
Dubu Wangu,7.00,4368,Sep 2023 - Feb 2024,"1,121 members",ONA
Geragera Boes Monogatari,7.00,4369,Apr 1987 - Mar 1988,"1,897 members",TV
Harukanaru Toki no Naka de: Hachiyou Shou,7.00,4370,Oct 2004 - Mar 2005,"26,003 members",TV
Inukami! The Movie: Tokumei Reiteki Sousakan Karina Shirou!,7.00,4371,Apr 2007 - Apr 2007,"17,474 members",Movie
Area 88 (TV),6.99,4372,Jan 2004 - Mar 2004,"15,314 members",TV
Arslan Senki (TV) Gaiden,6.99,4373,May 2016 - Nov 2016,"21,747 members",OVA
Asura,6.99,4374,Sep 2012 - Sep 2012,"34,169 members",Movie
BanG Dream!,6.99,4375,Jan 2017 - Apr 2017,"97,152 members",TV
Blue Seed,6.99,4376,Oct 1994 - Mar 1995,"31,738 members",TV
Chain Chronicle: Haecceitas no Hikari Part 3,6.99,4377,Feb 2017 - Feb 2017,"15,842 members",Movie
Futari wa Precure: Max Heart,6.99,4378,Feb 2005 - Jan 2006,"20,895 members",TV
Gakkou no Kaidan: Kubinashi Rider!! Shi no Noroi,6.99,4379,Aug 2001 - Aug 2001,"17,029 members",Special
Hataraki Man,6.99,4380,Oct 2006 - Dec 2006,"27,086 members",TV
Hoshi wo Katta Hi,6.99,4381,Jan 2006 - Jan 2006,"8,449 members",Movie
Inazuma Eleven: Chou Jigen Dream Match,6.99,4382,Jun 2014 - Jun 2014,"12,170 members",Movie
Jungle Taitei Movie (1997),6.99,4383,Aug 1997 - Aug 1997,"4,990 members",Movie
Juuni Senshi Bakuretsu Eto Ranger,6.99,4384,Apr 1995 - Jan 1996,"2,907 members",TV
Kamisama Dolls,6.99,4385,Jul 2011 - Sep 2011,"73,943 members",TV
Karneval,6.99,4386,Oct 2012 - Oct 2012,"18,444 members",OVA
Lost Universe,6.99,4387,Apr 1998 - Sep 1998,"18,227 members",TV
Manga Sekai Mukashibanashi,6.99,4388,Oct 1976 - Mar 1979,"2,404 members",TV
Maria†Holic,6.99,4389,Jan 2009 - Mar 2009,"183,132 members",TV
Mewkledreamy,6.99,4390,Apr 2020 - Apr 2021,"8,659 members",TV
Mirai Shounen Conan (Movie),6.99,4391,Sep 1979 - Sep 1979,"3,196 members",Movie
Nanatsu-iro★Drops,6.99,4392,Jul 2007 - Sep 2007,"23,640 members",TV
Onegai☆Twins: Natsu wa Owaranai,6.99,4393,Apr 2004 - Apr 2004,"30,650 members",OVA
Popolocrois Monogatari,6.99,4394,Oct 1998 - Mar 1999,"4,068 members",TV
Puniru wa Kawaii Slime,6.99,4395,Oct 2024 - Dec 2024,"8,414 members",TV
RahXephon: Tagen Hensoukyoku,6.99,4396,Apr 2003 - Apr 2003,"16,300 members",Movie
Rekka no Honoo: Final Burning,6.99,4397,Jun 2004 - Jun 2004,"7,328 members",Special
Rental Magica,6.99,4398,Oct 2007 - Mar 2008,"63,598 members",TV
Senyuu. Specials,6.99,4399,Apr 2013 - Nov 2013,"18,375 members",Special
Sky Girls,6.99,4400,Jul 2007 - Dec 2007,"25,144 members",TV
Soukyuu no Fafner: Dead Aggressor - Exodus Special,6.99,4401,Feb 2015 - Feb 2015,"2,185 members",Special
Taiho Shichau zo: Nagisa no Koutsuu Yuudou,6.99,4402,Apr 1999 - Apr 1999,"6,222 members",TV
Tongari Boushi no Memole,6.99,4403,Mar 1984 - Mar 1985,"3,712 members",TV
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,6.99,4404,Jul 2013 - Sep 2013,"671,458 members",TV
Wo Shi Da Shenxian 2nd Season,6.99,4405,Feb 2021 - Jun 2021,"1,396 members",ONA
Wonderful Days,6.99,4406,Jul 2003 - Jul 2003,"35,779 members",Movie
You Yao 2,6.99,4407,Sep 2023 - Feb 2024,"1,125 members",ONA
Ze Tian Ji 2nd Season,6.99,4408,Jul 2016 - Oct 2016,"3,996 members",ONA
Sengoku Youko: Yonaoshi Kyoudai-hen,6.98,4409,Jan 2024 - Apr 2024,"57,640 members",TV
Shiguang Zhaoxiangguan de Richang,6.98,4410,Oct 2021 - Mar 2023,"10,484 members",ONA
Sora wo Kakeru Shoujo,6.98,4411,Jan 2009 - Jun 2009,"27,309 members",TV
Terra Formars,6.98,4412,Sep 2014 - Dec 2014,"237,114 members",TV
Tight-rope,6.98,4413,May 2012 - Jun 2012,"50,932 members",OVA
Uzaki-chan wa Asobitai!,6.98,4414,Jul 2020 - Sep 2020,"497,417 members",TV
Vampire Hunter D,6.98,4415,Dec 1985 - Dec 1985,"96,184 members",Movie
"Wake Up, Girls!",6.98,4416,Jan 2014 - Mar 2014,"55,593 members",TV
Witch Craft Works,6.98,4417,Jan 2014 - Mar 2014,"352,458 members",TV
Wu Ying Sanqian Dao 2nd Season,6.98,4418,Aug 2023 - Feb 2024,743 members,ONA
Yuragi-sou no Yuuna-san,6.98,4419,Jul 2018 - Sep 2018,"313,272 members",TV
Zombie-Loan Specials,6.98,4420,Apr 2008 - Apr 2008,"29,400 members",Special
Ao no 6-gou,6.98,4421,Oct 1998 - Mar 2000,"61,050 members",OVA
Aru Nihon no Ekaki Shounen,6.98,4422,Mar 2019 - Mar 2019,"1,325 members",Movie
Chain Chronicle: Haecceitas no Hikari Part 1,6.98,4423,Dec 2016 - Dec 2016,"24,963 members",Movie
Chain Chronicle: Haecceitas no Hikari Part 2,6.98,4424,Jan 2017 - Jan 2017,"17,111 members",Movie
City Hunter Movie: Tenshi no Namida,6.98,4425,Sep 2023 - Sep 2023,"5,280 members",Movie
Concrete Revolutio: Choujin Gensou - The Last Song,6.98,4426,Apr 2016 - Jun 2016,"37,347 members",TV
D4DJ Petit Mix,6.98,4427,Feb 2021 - Jul 2021,"7,280 members",TV
Dan Dao Zhizun,6.98,4428,Dec 2023 -,793 members,ONA
Dog Days',6.98,4429,Jul 2012 - Sep 2012,"106,974 members",TV
Dr. Slump,6.98,4430,Nov 1997 - Sep 1999,"19,218 members",TV
Feng Yu Zhou,6.98,4431,Aug 2018 - Aug 2018,"1,776 members",Movie
Gakusen Toshi Asterisk 2nd Season,6.98,4432,Apr 2016 - Jun 2016,"447,498 members",TV
Gantz,6.98,4433,Apr 2004 - Jun 2004,"368,226 members",TV
H2O: Footprints in the Sand,6.98,4434,Jan 2008 - Mar 2008,"97,984 members",TV
Halo Legends,6.98,4435,Nov 2009 - Feb 2010,"42,966 members",ONA
Hitsugi no Chaika: Nerawareta Hitsugi/Yomigaeru Iseki,6.98,4436,Mar 2015 - Mar 2015,"42,628 members",OVA
Inazuma Eleven: Reloaded - Soccer no Henkaku,6.98,4437,Jan 2018 - Jan 2018,"7,515 members",Special
Jian Wang 3: Xia Gan Yi Dan Shen Jianxin,6.98,4438,Sep 2018 - Nov 2018,"2,861 members",ONA
